KabKota_bpjs;KabKota_jml;Provinsi;Rokok;Gula;Minuman;Mie;Minyak;Buah;Sayur;IPM;IPM_level;Kepadatan_level;Penc_Air_level;Penc_Udara_level;Sanitasi_level;Rokok_level;Sayur_level;Gula_level;persen_DM;persen_TB;DM_level;TB_level
Dairi;Dairi;SUMATERA UTARA;19.649;2.164;2.242;0.524;0.412;0.591;1.929;71.84;1;1;1;0;0;1;1;1;0.0346414451521045;0.0578416790613122;1;3
Karo;Karo;SUMATERA UTARA;21.224;1.579;2.595;0.463;0.633;0.581;2.609;74.83;1;1;1;0;0;1;1;1;0.054682496674713;0.0453224296763387;3;2
Deli Serdang;Deli Serdang;SUMATERA UTARA;14.307;1.855;3.26;0.699;0.476;0.697;2.31;75.53;1;1;1;0;0;0;1;1;0.0412583020085935;0.0180164880802697;2;1
Langkat;Langkat;SUMATERA UTARA;16.868;1.903;2.814;0.711;0.562;0.669;1.916;71.35;1;1;1;0;0;1;1;1;0.0328367610891082;0.0292946031873677;1;1
Nias Selatan;Nias Selatan;SUMATERA UTARA;7.069;1.129;3.225;0.538;0.737;0.349;1.189;62.35;0;1;1;0;0;0;0;1;0.0273713137683183;0.0246341823914864;1;1
Humbang Hasundutan;Humbang Hasundutan;SUMATERA UTARA;20.44;2.501;4.739;0.7;0.453;0.671;1.91;69.41;0;1;1;0;0;1;0;1;0.0444153886845559;0.0918250732354864;2;4
Pakpak Bharat;Pakpak Bharat;SUMATERA UTARA;21.231;2.001;1.927;0.845;0.458;0.724;2.061;67.94;0;1;1;0;0;1;1;1;0.0685883770506998;0.235424969876726;3;4
Samosir;Samosir;SUMATERA UTARA;20.295;2.252;2.789;0.645;0.388;0.781;2.076;70.83;1;1;1;0;0;1;1;1;0.0759448325273151;0.105319720580333;3;4
Serdang Bedagai;Serdang Bedagai;SUMATERA UTARA;17.55;2.136;3.041;0.825;0.491;0.779;1.939;70.56;1;1;1;0;0;1;1;1;0.0513248804191026;0.0457064763495558;2;2
Batu Bara;BatuBara;SUMATERA UTARA;20.082;1.762;3.044;0.501;0.481;0.573;1.699;68.58;0;1;1;0;0;1;0;1;0.0460440072370345;0.0517317963663153;2;2
Padang Lawas Utara;Padang Lawas Utara;SUMATERA UTARA;26.435;1.172;2.435;0.873;0.54;0.634;2.092;70.11;1;1;1;0;0;1;1;0;0.0474924367359607;0.0575892539947871;2;3
Padang Lawas;Padang Lawas;SUMATERA UTARA;30.202;0.897;1.489;0.671;0.646;0.636;1.757;68.64;0;1;1;0;0;1;0;0;0.0463681477649403;0.0693606177310264;2;3
Labuhan Batu Selatan;LabuhanBatu Selatan;SUMATERA UTARA;24.371;2.001;3.508;1.388;0.498;0.498;1.942;71.69;1;1;1;0;0;1;1;1;0.0450268608514735;0.0549638232462814;2;2
Labuhan Batu Utara;LabuhanBatu Utara;SUMATERA UTARA;20.179;2.039;2.65;0.981;0.507;0.68;1.992;71.87;1;1;1;0;0;1;1;1;0.0359217364720269;0.0517171099561806;2;2
Nias Utara;Nias Utara;SUMATERA UTARA;7.066;0.979;2.682;0.809;0.875;0.407;1.147;62.82;0;1;1;0;0;0;0;0;0.0311367566099359;0.0688983550517731;1;3
Nias Barat;Nias Barat;SUMATERA UTARA;6.445;0.885;2.269;0.698;0.549;0.401;0.986;61.99;0;1;1;0;0;0;0;0;0.0397198703877914;0.0783944810285356;2;3
