KabKota_bpjs;KabKota_jml;Provinsi;Rokok;Gula;Minuman;Mie;Minyak;Buah;Sayur;IPM;IPM_level;Kepadatan_level;Penc_Air_level;Penc_Udara_level;Sanitasi_level;Rokok_level;Sayur_level;Gula_level;persen_DM;persen_TB;DM_level;TB_level
Bangka;Bangka;KEPULAUAN BANGKA BELITUNG;20.918;1.705;2.171;1.093;0.246;0.695;1.964;72.46;1;0;1;1;1;1;1;0;0.102194830513804;0.0534557574995283;4;2
Belitung;Belitung;KEPULAUAN BANGKA BELITUNG;20.493;1.243;3.279;1.051;0.382;0.549;1.69;72.57;1;0;1;1;1;1;0;1;0.0954270214624046;0.0971620582162665;4;4
Bangka Barat;Bangka Barat;KEPULAUAN BANGKA BELITUNG;22.887;2.018;3.552;1.291;0.29;0.695;1.578;69.6;0;0;1;1;1;1;0;1;0.0913744535201882;0.0721908665932979;4;3
Bangka Tengah;Bangka Tengah;KEPULAUAN BANGKA BELITUNG;25.568;1.886;3.199;1.17;0.27;0.689;1.932;70.89;1;0;1;1;1;1;1;1;0.0839960586464789;0.0926110390204767;4;4
Bangka Selatan;Bangka Selatan;KEPULAUAN BANGKA BELITUNG;27.213;1.409;2.987;1.24;0.268;0.555;1.593;67.06;0;0;1;1;1;1;0;1;0.0781982241793346;0.0831896001907815;3;3
Belitung Timur;Belitung Timur;KEPULAUAN BANGKA BELITUNG;27.032;1.227;3.829;1.418;0.321;0.581;1.743;71.42;1;0;1;1;1;1;0;1;0.0865606565786099;0.107399333162349;4;4
Kota Pangkal Pinang;Kota Pangkal Pinang;KEPULAUAN BANGKA BELITUNG;15.53;1.458;2.55;1.242;0.287;0.74;2.111;78.57;1;0;1;1;1;0;1;1;0.123446438220881;0.0796578903236626;4;3
Karimun;Karimun;KEPULAUAN RIAU;20.678;1.866;3.15;1.392;0.37;0.435;1.961;71.7;1;1;1;0;0;1;1;1;0.0942355889724311;0.0717794486215539;4;3
Bintan;Bintan;KEPULAUAN RIAU;24.172;1.53;3.688;1.216;0.404;0.654;2.371;74.57;1;1;1;0;0;1;1;1;0.101854520995484;0.11082284359886;4;4
Natuna;Natuna;KEPULAUAN RIAU;25.768;1.743;3.134;1.415;0.412;0.529;1.471;73.09;1;1;1;0;0;1;0;1;0.0965935490181694;0.155283300320348;4;4
Lingga;Lingga;KEPULAUAN RIAU;20.71;2.952;3.85;1.06;0.383;0.405;1.465;65.83;0;1;1;0;0;1;0;1;0.081264555770279;0.116941677815767;4;4
Kepulauan Anambas;Kepulauan Anambas;KEPULAUAN RIAU;28.592;2.406;3.455;1.598;0.49;0.375;1.302;69.23;0;1;1;0;0;1;0;1;0.0669966069460353;0.103736681722893;3;4
Kota Batam;Kota Batam;KEPULAUAN RIAU;17.762;1.426;3.34;1.297;0.403;0.672;2.183;81.12;1;1;1;0;0;1;1;1;0.0508328736103349;0.0278993924433277;2;1
Kota Tanjung Pinang;Kota Tanjung Pinang;KEPULAUAN RIAU;18.549;1.228;3.262;1.136;0.329;0.467;1.772;78.93;1;1;1;0;0;1;0;1;0.108935937464391;0.0920713781079788;4;4
Bogor;Bogor;JAWA BARAT;16.761;0.857;3.345;1.267;0.303;0.542;1.903;70.6;1;1;1;1;1;0;0;1;0.0328135234276215;0.00829914016651906;1;1
Sukabumi;Sukabumi;JAWA BARAT;18.12;0.993;2.846;1.112;0.286;0.645;1.863;67.07;0;1;1;1;1;1;0;0;0.0183246226394864;0.0138409383766334;1;1
Cianjur;Cianjur;JAWA BARAT;18.613;0.848;3.32;1.135;0.269;0.515;1.367;65.56;0;1;1;1;1;1;0;1;0.0145233688441367;0.0132110162377388;1;1
Bandung;Bandung;JAWA BARAT;16.986;0.784;3.555;1.449;0.281;0.526;1.336;72.73;1;1;1;1;1;1;0;1;0.0234124158968053;0.0099615327253234;1;1
Garut;Garut;JAWA BARAT;14.693;0.767;2.391;0.978;0.232;0.514;1.478;66.45;0;1;1;1;1;0;0;0;0.0153497865502539;0.0132008164332183;1;1
Tasikmalaya;Tasikmalaya;JAWA BARAT;14.168;0.761;2.11;0.972;0.262;0.542;1.523;65.9;0;1;1;1;1;0;0;0;0.0167979904915561;0.016407339549892;1;1
Ciamis;Ciamis;JAWA BARAT;16.183;0.974;2.994;1.039;0.278;0.627;1.812;70.93;1;1;1;1;1;0;0;1;0.0270025343921746;0.0239577382292587;1;1
Kuningan;Kuningan;JAWA BARAT;18.453;1.106;3.786;1.146;0.295;0.501;1.955;69.71;1;1;1;1;1;1;1;1;0.0339797202851207;0.0232537984779488;1;1
Cirebon;Cirebon;JAWA BARAT;17.765;0.844;2.771;1.116;0.221;0.524;2.122;69.12;0;1;1;1;1;1;1;0;0.0331901958450453;0.0155650573618143;1;1
Majalengka;Majalengka;JAWA BARAT;17.678;0.928;3.675;1.155;0.243;0.549;1.753;67.81;0;1;1;1;1;1;0;1;0.0301304371219283;0.021906057601402;1;1
Sumedang;Sumedang;JAWA BARAT;17.472;0.938;3.831;1.313;0.301;0.653;1.638;71.8;1;1;1;1;1;1;0;1;0.039055211050021;0.0217841288301228;2;1
Indramayu;Indramayu;JAWA BARAT;19.669;1.085;3.335;1.422;0.262;0.734;2.388;67.64;0;1;1;1;1;1;1;1;0.0169485871334935;0.0147425805542134;1;1
Subang;Subang;JAWA BARAT;19.565;0.865;3.249;1.074;0.25;0.57;1.841;69.13;0;1;1;1;1;1;0;1;0.0240808965228587;0.0177102889771289;1;1
Purwakarta;Purwakarta;JAWA BARAT;22.707;0.883;3.288;1.325;0.29;0.563;1.623;70.98;1;1;1;1;1;1;0;1;0.0457884173281137;0.0286574159259095;2;1
Karawang;Karawang;JAWA BARAT;18.264;0.68;3.817;1.164;0.237;0.469;1.818;70.94;1;1;1;1;1;1;0;1;0.0303880257365859;0.0116544985069292;1;1
Bekasi;Bekasi;JAWA BARAT;13.895;0.806;4.158;1.231;0.289;0.535;2.053;74.45;1;1;1;1;1;0;1;1;0.0426671225824932;0.0103855825618195;2;1
Bandung Barat;Bandung Barat;JAWA BARAT;16.203;0.793;3.533;1.072;0.27;0.661;1.932;68.29;0;1;1;1;1;0;1;1;0.029710604280011;0.0196065931078615;1;1
Pangandaran;Pangandaran;JAWA BARAT;18.22;0.983;3.335;0.94;0.335;0.681;1.849;68.28;0;1;1;1;1;1;0;1;0.030760857991316;0.0480342628633626;1;2
Kota Bogor;Kota Bogor;JAWA BARAT;14.066;0.581;3.251;1.102;0.318;0.503;1.698;76.59;1;1;1;1;1;0;0;0;0.0661291235923567;0.0247624294438723;3;1
Kota Sukabumi;Kota Sukabumi;JAWA BARAT;15.984;0.686;3.272;1.226;0.275;0.603;1.579;74.6;1;1;1;1;1;0;0;1;0.0465342069508317;0.0574496382109034;2;3
Kota Bandung;Kota Bandung;JAWA BARAT;14.414;0.757;4.244;1.41;0.295;0.667;1.456;81.96;1;1;1;1;1;0;0;1;0.0575406401031517;0.0133721205873522;3;1
Kota Cirebon;Kota Cirebon;JAWA BARAT;11.72;0.798;3.177;1.144;0.243;0.583;1.89;75.25;1;1;1;1;1;0;0;1;0.0977600579493356;0.0594805171860415;4;3
Kota Bekasi;Kota Bekasi;JAWA BARAT;11.869;0.904;3.591;1.185;0.301;0.733;2.303;81.95;1;1;1;1;1;0;1;1;0.0626665219465942;0.0114274245902613;3;1
Kota Depok;Kota Depok;JAWA BARAT;12;0.725;3.773;1.108;0.312;0.643;2.101;81.37;1;1;1;1;1;0;1;1;0.0670670530132114;0.015011788033553;3;1
Kota Cimahi;Kota Cimahi;JAWA BARAT;15.01;0.886;3.807;1.278;0.268;0.667;1.835;78.06;1;1;1;1;1;0;0;1;0.0742974361948115;0.036967504838394;3;2
Kota Tasikmalaya;Kota Tasikmalaya;JAWA BARAT;14.48;0.436;2.823;1.203;0.229;0.704;1.367;73.31;1;1;1;1;1;0;0;0;0.0374836708262352;0.0313296353174503;2;1
Kota Banjar;Kota Banjar;JAWA BARAT;15.088;1.012;3.193;1.236;0.269;0.948;1.812;71.92;1;1;1;1;1;0;0;1;0.073134342912307;0.0853234000643582;3;3
Cilacap;Cilacap;JAWA TENGAH;14.381;1.578;2.505;0.736;0.336;0.531;2.27;70.42;1;1;1;1;1;0;1;1;0.0321198755199405;0.0151792314957138;1;1
Banyumas;Banyumas;JAWA TENGAH;12.64;1.31;2.279;0.823;0.329;0.652;2.21;72.44;1;1;1;1;1;0;1;0;0.0480781043043584;0.0164169136649029;2;1
Purbalingga;Purbalingga;JAWA TENGAH;14.251;1.489;2.573;0.715;0.303;0.496;2.069;69.15;0;1;1;1;1;0;1;1;0.0324528007067499;0.0263428598329482;1;1
Banjarnegara;Banjarnegara;JAWA TENGAH;13.625;2.115;2.35;0.748;0.392;0.628;2.114;67.86;0;1;1;1;1;0;1;1;0.030852370424957;0.0241709653647752;1;1
Kebumen;Kebumen;JAWA TENGAH;9.048;1.797;1.806;0.712;0.377;0.667;2.165;70.05;1;1;1;1;1;0;1;0;0.0414989567523133;0.0199194992411104;2;1
Purworejo;Purworejo;JAWA TENGAH;10.882;1.853;1.803;0.645;0.455;0.67;2.243;72.98;1;1;1;1;1;0;1;0;0.0696179101234044;0.0290601076740163;3;1
Wonosobo;Wonosobo;JAWA TENGAH;9.006;1.866;1.603;0.772;0.425;0.711;1.958;68.43;0;1;1;1;1;0;1;0;0.03012440473157;0.0323893975685302;1;2
Magelang;Magelang;JAWA TENGAH;10.521;1.99;1.627;0.729;0.41;0.536;2.27;70.12;1;1;1;1;1;0;1;0;0.0468781547025519;0.0246767844061288;2;1
Boyolali;Boyolali;JAWA TENGAH;12.4;2.198;1.557;0.772;0.351;0.536;2.288;74.4;1;1;1;1;1;0;1;0;0.0616047466076985;0.0271897492743855;3;1
Klaten;Klaten;JAWA TENGAH;11.103;2.032;2.346;0.807;0.273;0.549;2.316;76.12;1;1;1;1;1;0;1;1;0.0720711162307791;0.0222048759785681;3;1
Sukoharjo;Sukoharjo;JAWA TENGAH;9.298;1.904;2.218;0.603;0.292;0.572;2.304;77.13;1;1;1;1;1;0;1;1;0.0817794680345335;0.0280355086893455;4;1
Wonogiri;Wonogiri;JAWA TENGAH;13.053;2.219;1.069;0.639;0.479;0.605;2.678;70.49;1;1;1;1;1;0;1;0;0.0414867909185323;0.0202374589846499;2;1
Karanganyar;Karanganyar;JAWA TENGAH;10.691;2.271;2.073;0.717;0.329;0.532;2.503;75.99;1;1;1;1;1;0;1;1;0.0736953916607505;0.0273386130354397;3;1
Sragen;Sragen;JAWA TENGAH;10.664;2.695;1.837;0.941;0.36;0.664;2.762;74.08;1;1;1;1;1;0;1;1;0.055303783683775;0.026344711500271;3;1
Grobogan;Grobogan;JAWA TENGAH;15.921;1.415;1.75;0.798;0.326;0.583;2.885;70.41;1;1;1;1;1;0;1;0;0.0401234714827527;0.0189736415994712;2;1
Blora;Blora;JAWA TENGAH;16.727;1.233;1.95;0.825;0.337;0.579;2.226;69.37;0;1;1;1;1;0;1;0;0.0428839750231319;0.0287001279870572;2;1
Rembang;Rembang;JAWA TENGAH;17.346;1.288;1.785;0.752;0.371;0.581;2.22;70.43;1;1;1;1;1;1;1;0;0.0571294043788747;0.0326453739307855;3;2
Pati;Pati;JAWA TENGAH;14.755;1.279;2.575;0.816;0.317;0.681;2.417;72.28;1;1;1;1;1;0;1;0;0.0569613933377107;0.0192140689346328;3;1
Kudus;Kudus;JAWA TENGAH;12.252;1.549;2.672;0.748;0.297;0.569;2.416;75.16;1;1;1;1;1;0;1;1;0.0968025985083069;0.030440335193576;4;1
Jepara;Jepara;JAWA TENGAH;16.388;1.665;2.327;0.902;0.304;0.528;2.392;72.36;1;1;1;1;1;0;1;1;0.0600737544161361;0.0222121444899999;3;1
Demak;Demak;JAWA TENGAH;16.357;1.272;2.736;0.952;0.298;0.55;2.473;72.57;1;1;1;1;1;0;1;1;0.0605337900830388;0.024022721852438;3;1
Semarang;Semarang;JAWA TENGAH;11.105;2.124;2.415;0.78;0.382;0.596;2.463;74.24;1;1;1;1;1;0;1;1;0.0616415254532978;0.0263624134014104;3;1
Temanggung;Temanggung;JAWA TENGAH;4.292;2.579;1.672;0.601;0.34;0.439;2.061;69.88;1;1;1;1;1;0;1;1;0.0410382162055356;0.0286254224149724;2;1
Kendal;Kendal;JAWA TENGAH;8.814;1.772;2.57;0.814;0.268;0.571;2.639;72.5;1;1;1;1;1;0;1;1;0.0484652023819455;0.0267154496736544;2;1
Batang;Batang;JAWA TENGAH;12.274;1.716;2.453;0.707;0.299;0.494;2.3;68.92;0;1;1;1;1;0;1;1;0.0447234536613222;0.029436623455051;2;1
Pekalongan;Pekalongan;JAWA TENGAH;12.655;1.787;1.56;0.847;0.261;0.484;1.982;70.11;1;1;1;1;1;0;1;0;0.0402590454086293;0.0272247852763316;2;1
Pemalang;Pemalang;JAWA TENGAH;13.813;1.243;1.79;0.897;0.25;0.543;2.027;66.56;0;1;1;1;1;0;1;0;0.0304636650338858;0.0193920687109978;1;1
Tegal;Tegal;JAWA TENGAH;12.775;1.293;1.66;0.908;0.262;0.551;1.934;68.79;0;1;1;1;1;0;1;0;0.0381083208273782;0.0224692276905145;2;1
Brebes;Brebes;JAWA TENGAH;18.802;1.011;2.095;0.956;0.217;0.468;2.078;66.32;0;1;1;1;1;1;1;0;0.0247142995685947;0.015276982644722;1;1
Kota Magelang;Kota Magelang;JAWA TENGAH;9.029;1.458;2.478;0.721;0.278;0.631;1.995;79.43;1;1;1;1;1;0;1;1;0.197607184597404;0.126099526357877;4;4
Kota Surakarta;Kota Surakarta/Solo;JAWA TENGAH;8.659;1.233;1.934;0.579;0.261;0.628;2.348;82.62;1;1;1;1;1;0;1;0;0.141120581249127;0.0398211541148526;4;2
Kota Salatiga;Kota Salatiga;JAWA TENGAH;10.593;1.72;2.661;0.778;0.359;0.77;2.028;83.6;1;1;1;1;1;0;1;1;0.143069586175068;0.0723039844110558;4;3
Kota Semarang;Kota Semarang;JAWA TENGAH;9.667;1.417;3.178;0.955;0.313;0.595;2.392;83.55;1;1;1;1;1;0;1;1;0.157329564128859;0.0166429295387454;4;1
Kota Pekalongan;Kota Pekalongan;JAWA TENGAH;10.187;1.55;2.272;0.784;0.231;0.449;1.939;75.4;1;1;1;1;1;0;1;0;0.104032039315176;0.067014503853334;4;3
Kota Tegal;Kota Tegal;JAWA TENGAH;13.179;1.241;1.937;0.946;0.213;0.519;1.912;75.52;1;1;1;1;1;0;1;0;0.0886146000434317;0.0714520885725694;4;3
Kulon Progo;Kulon Progo;DAERAH ISTIMEWA YOGYAKARTA;8.217;1.832;1.347;0.725;0.458;0.733;2.139;74.71;1;1;1;1;1;0;1;0;0.0816542022831857;0.0375833040645896;4;2
Bantul;Bantul;DAERAH ISTIMEWA YOGYAKARTA;10.736;2.111;1.868;0.831;0.379;0.64;2.266;80.28;1;1;1;1;1;0;1;1;0.10386687270808;0.0309908286186023;4;1
Gunung Kidul;Gunung Kidul;DAERAH ISTIMEWA YOGYAKARTA;9.586;2.008;1.018;0.715;0.473;0.558;2.379;70.16;1;1;1;1;1;0;1;0;0.0590743543134038;0.023942029060939;3;1
Sleman;Sleman;DAERAH ISTIMEWA YOGYAKARTA;10.898;1.842;2.423;0.887;0.348;0.829;2.361;84;1;1;1;1;1;0;1;1;0.116255942359463;0.0253055103449113;4;1
Kota Yogyakarta;Kota Yogyakarta;DAERAH ISTIMEWA YOGYAKARTA;8.333;1.262;1.796;0.826;0.233;0.627;1.883;87.18;1;1;1;1;1;0;0;0;0.172629308781609;0.0449706602708394;4;2
Pacitan;Pacitan;JAWA TIMUR;7.551;1.676;1.724;0.673;0.63;0.605;2.341;68.57;0;1;1;1;1;0;1;0;0.0425383812212383;0.0306007327362267;2;1
Ponorogo;Ponorogo;JAWA TIMUR;10.13;1.475;1.326;0.585;0.482;0.609;2.525;71.06;1;1;1;1;1;0;1;0;0.0466261677218723;0.0276035183630597;2;1
Trenggalek;Trenggalek;JAWA TIMUR;10.393;1.414;1.649;0.524;0.869;0.64;2.524;70.06;1;1;1;1;1;0;1;0;0.0456122849087354;0.0264071123155837;2;1
Tulungagung;Tulungagung;JAWA TIMUR;12.144;1.53;1.963;0.754;0.654;0.811;3.17;73.15;1;1;1;1;1;0;1;0;0.056875535727241;0.0214066976989143;3;1
Blitar;Blitar;JAWA TIMUR;11.805;1.623;2.572;0.654;0.735;0.619;2.486;71.05;1;1;1;1;1;0;1;1;0.0327017703256404;0.0170758012537827;1;1
Kediri;Kediri;JAWA TIMUR;14.608;1.642;2.295;0.591;0.453;0.655;2.595;72.56;1;1;1;1;1;0;1;1;0.0530864651834228;0.0216568647736918;3;1
Malang;Malang;JAWA TIMUR;18.415;1.803;2.078;0.689;0.389;0.554;2.144;70.6;1;1;1;1;1;1;1;0;0.0473548538331866;0.0123500200196184;2;1
Lumajang;Lumajang;JAWA TIMUR;9.766;2.06;1.773;1.001;0.35;0.797;2.332;66.07;0;1;1;1;1;0;1;0;0.0313102311723952;0.0235935453027114;1;1
Jember;Jember;JAWA TIMUR;13.221;1.451;1.884;0.7;0.379;0.599;2.43;67.32;0;1;1;1;1;0;1;0;0.025160755774491;0.0116246592570516;1;1
Banyuwangi;Banyuwangi;JAWA TIMUR;15.198;0.833;2.676;0.753;0.448;0.647;2.253;71.38;1;1;1;1;1;0;1;0;0.0332822547152248;0.0174144671831813;1;1
Bondowoso;Bondowoso;JAWA TIMUR;14.814;1.553;1.205;0.592;0.274;0.427;1.664;66.59;0;1;1;1;1;0;0;0;0.0288890647353699;0.0326572036138964;1;2
Situbondo;Situbondo;JAWA TIMUR;18.229;1.685;1.149;0.696;0.289;0.49;1.807;67.78;0;1;1;1;1;1;0;0;0.0342082033010916;0.0331935532031779;1;2
Probolinggo;Probolinggo;JAWA TIMUR;11.177;1.808;1.546;0.824;0.261;0.329;1.628;66.26;0;1;1;1;1;0;0;0;0.0271028942019166;0.0241990126802826;1;1
Pasuruan;Pasuruan;JAWA TIMUR;16.787;2.166;1.753;0.819;0.274;0.564;1.999;68.93;0;1;1;1;1;1;1;1;0.0462909676636206;0.0185541242673479;2;1
Sidoarjo;Sidoarjo;JAWA TIMUR;11.632;1.667;1.961;0.85;0.314;0.616;2.058;80.65;1;1;1;1;1;0;1;0;0.097762845416093;0.0156232446709844;4;1
Mojokerto;Mojokerto;JAWA TIMUR;15.727;1.707;2.022;0.717;0.295;0.71;2.336;74.15;1;1;1;1;1;0;1;0;0.0847451648518326;0.0261025689866207;4;1
Jombang;Jombang;JAWA TIMUR;14.919;1.659;1.934;0.688;0.369;0.673;2.216;73.45;1;1;1;1;1;0;1;0;0.0589786833120935;0.0211278068067373;3;1
Nganjuk;Nganjuk;JAWA TIMUR;15.818;1.673;1.619;0.611;0.407;0.538;2.604;71.97;1;1;1;1;1;0;1;0;0.0363552560589116;0.0214379888308078;2;1
Madiun;Madiun;JAWA TIMUR;11.914;1.776;1.613;0.616;0.353;0.536;2.266;71.88;1;1;1;1;1;0;1;0;0.0725214682313073;0.0336467440407729;3;2
Magetan;Magetan;JAWA TIMUR;12.346;1.897;1.304;0.645;0.398;0.58;2.539;74.15;1;1;1;1;1;0;1;0;0.081851627411392;0.0380538267789805;4;2
Ngawi;Ngawi;JAWA TIMUR;13.596;1.984;1.81;0.738;0.323;0.626;2.354;71.04;1;1;1;1;1;0;1;0;0.0572504194884384;0.028570266923213;3;1
Bojonegoro;Bojonegoro;JAWA TIMUR;16.224;1.438;1.417;0.623;0.415;0.534;2.177;69.59;0;1;1;1;1;0;1;0;0.03215202197155;0.0193062374922625;1;1
Tuban;Tuban;JAWA TIMUR;13.223;1.193;1.633;0.574;0.342;0.711;2.171;68.91;0;1;1;1;1;0;1;0;0.0386802752911559;0.0210757910240272;2;1
Lamongan;Lamongan;JAWA TIMUR;15.863;1.516;1.608;0.804;0.306;0.629;2.047;73.12;1;1;1;1;1;0;1;0;0.043094129264858;0.0219122691177244;2;1
Gresik;Gresik;JAWA TIMUR;13.876;1.323;2.017;0.791;0.306;0.664;2.093;76.5;1;1;1;1;1;0;1;0;0.080436290212248;0.0205218687638287;4;1
Bangkalan;Bangkalan;JAWA TIMUR;22.108;1.186;1.333;0.75;0.268;0.415;1.743;64.36;0;1;1;1;1;1;0;0;0.0299228995942231;0.0239569632265275;1;1
Sampang;Sampang;JAWA TIMUR;23.524;1.099;0.961;0.701;0.251;0.236;1.658;62.8;0;1;1;1;1;1;0;0;0.0298324488478382;0.0305316468677094;1;1
Pamekasan;Pamekasan;JAWA TIMUR;21.661;0.943;0.577;0.598;0.261;0.306;1.488;66.4;0;1;1;1;1;1;0;0;0.0326295538848577;0.0280201745256585;1;1
Sumenep;Sumenep;JAWA TIMUR;27.57;1.777;1.5;0.821;0.347;0.749;1.898;67.04;0;1;1;1;1;1;0;0;0.0272545655807472;0.022932644177975;1;1
Kota Kediri;Kota Kediri;JAWA TIMUR;11.337;1.344;2.124;0.625;0.353;0.665;2.136;78.6;1;1;1;1;1;0;1;0;0.116917602064294;0.0548796907648729;4;2
Kota Blitar;Kota Blitar;JAWA TIMUR;11.474;1.369;3.11;0.747;0.42;0.676;2.252;78.98;1;1;1;1;1;0;1;1;0.107325437398787;0.0749372876512241;4;3
Kota Malang;Kota Malang;JAWA TIMUR;12.851;1.332;2.62;0.79;0.315;0.657;2.25;82.04;1;1;1;1;1;0;1;1;0.109266652658121;0.0309355373444468;4;1
Kota Probolinggo;Kota Probolinggo;JAWA TIMUR;9.812;1.393;2.27;0.657;0.262;0.476;1.413;73.66;1;1;1;1;1;0;0;0;0.109129835347237;0.0749746960400865;4;3
Kota Pasuruan;Kota Pasuruan;JAWA TIMUR;12.797;1.446;2.361;0.812;0.24;0.535;1.762;75.62;1;1;1;1;1;0;0;0;0.110685155363005;0.0902582811972999;4;4
Kota Mojokerto;Kota Mojokerto;JAWA TIMUR;10.334;1.144;1.715;0.751;0.279;0.524;1.889;78.43;1;1;1;1;1;0;0;0;0.232264579651603;0.157968766905904;4;4
Kota Madiun;Kota Madiun;JAWA TIMUR;9.755;1.354;2.053;0.673;0.305;0.84;2.081;81.25;1;1;1;1;1;0;1;0;0.199421097977715;0.0866416906262403;4;3
Kota Surabaya;Kota Surabaya;JAWA TIMUR;11.406;1.357;2.962;0.886;0.335;0.656;2.085;82.31;1;1;1;1;1;0;1;1;0.132529747812783;0.0102991827615474;4;1
Kota Batu;Kota Batu;JAWA TIMUR;14.323;1.755;2.314;0.717;0.312;0.643;2.2;76.28;1;1;1;1;1;0;1;1;0.123359927401974;0.0893296026014293;4;4
Pandeglang;Pandeglang;BANTEN;24.698;1.138;2.345;0.814;0.268;0.407;1.938;65.17;0;1;1;1;1;1;1;0;0.0122807614404006;0.0217402668742226;1;1
Lebak;Lebak;BANTEN;23.578;1.777;2.199;0.968;0.338;0.716;2.25;64.03;0;1;1;1;1;1;1;1;0.0241024548078972;0.0211574603297619;1;1
Tangerang;Tangerang;BANTEN;17.761;0.813;3.53;1.253;0.308;0.559;2.26;72.29;1;1;1;1;1;1;1;1;0.0328138995944934;0.00958567964084218;1;1
Serang;Serang;BANTEN;22.525;0.78;2.044;1.03;0.283;0.515;2.288;66.82;0;1;1;1;1;1;1;0;0.0223118603088232;0.0212300731423348;1;1
Kota Tangerang;Kota Tangerang;BANTEN;13.013;0.993;3.486;1.195;0.37;0.718;2.465;78.5;1;1;1;1;1;0;1;1;0.0755912334583925;0.0153677601404534;3;1
Kota Cilegon;Kota Cilegon;BANTEN;16.335;1.005;2.752;1.157;0.31;0.6;1.964;73.35;1;1;1;1;1;0;1;0;0.0792505837019039;0.0500654885062926;3;2
Kota Serang;Kota Serang;BANTEN;20.896;0.819;2.371;1.056;0.315;0.482;2.001;72.44;1;1;1;1;1;1;1;0;0.0375930003065987;0.039441836387251;2;2
Kota Tangerang Selatan;Kota Tangerang Selatan;BANTEN;12.063;1.069;3.393;1.171;0.328;0.642;2.211;81.6;1;1;1;1;1;0;1;1;0.0698054545511588;0.021569101125358;3;1
Jembrana;Jembrana;BALI;16.688;1.014;2.081;0.784;0.335;0.587;2.753;72.75;1;1;1;0;0;0;1;0;0.0729909173645087;0.0470318044942859;3;2
Tabanan;Tabanan;BALI;13.883;1.143;1.386;0.73;0.293;0.507;2.659;76.45;1;1;1;0;0;0;1;0;0.079763845987282;0.0433066864640091;3;2
Badung;Badung;BALI;9.771;0.829;1.674;0.899;0.245;0.548;2.149;81.83;1;1;1;0;0;0;1;0;0.0964521578866534;0.0319459376439871;4;1
Gianyar;Gianyar;BALI;8.541;0.871;1.572;0.794;0.3;0.749;2.283;77.7;1;1;1;0;0;0;1;0;0.0700377924726334;0.0349191273011705;3;2
Klungkung;Klungkung;BALI;7.331;0.904;1.883;0.701;0.279;0.74;2.699;71.75;1;1;1;0;0;0;1;0;0.109565282258817;0.0685365808172171;4;3
Bangli;Bangli;BALI;9.237;1.343;1.761;0.669;0.322;0.877;2.9;69.37;0;1;1;0;0;0;1;0;0.0669531813982368;0.0415184532692977;3;2
Karang asem;Karangasem;BALI;7.963;0.917;1.037;0.601;0.338;0.626;1.99;67.36;0;1;1;0;0;0;1;0;0.0506291790895671;0.0407361211065482;2;2
Buleleng;Buleleng;BALI;12.278;0.835;0.887;0.59;0.285;0.74;2.259;72.56;1;1;1;0;0;0;1;0;0.062225631845885;0.0283729397653448;3;1
Kota Denpasar;Kota Denpasar;BALI;10.024;0.721;2.646;0.895;0.261;0.561;2.507;84.03;1;1;1;0;0;0;1;0;0.0990872568856397;0.03035799316714;4;1
Lombok Barat;Lombok Barat;NUSA TENGGARA BARAT;10.634;1.276;1.746;0.788;0.279;0.518;2.616;68.61;0;1;0;1;0;0;1;0;0.0343379381388838;0.0339208781614884;1;2
Lombok Tengah;Lombok Tengah;NUSA TENGGARA BARAT;11.141;1.306;1.434;0.698;0.353;0.531;3.024;66.72;0;1;0;1;0;0;1;0;0.0225147759204951;0.0220357381349526;1;1
Lombok Timur;Lombok Timur;NUSA TENGGARA BARAT;6.811;1.347;1.642;1.079;0.394;0.775;3.094;66.66;0;1;0;1;0;0;1;0;0.0326819804355182;0.0197325164893695;1;1
Sumbawa;Sumbawa;NUSA TENGGARA BARAT;16.996;1.296;2.97;0.847;0.268;0.532;1.638;68.01;0;1;0;1;0;1;0;1;0.0485537771925429;0.0392314519715747;2;2
Dompu;Dompu;NUSA TENGGARA BARAT;15.447;0.99;1.305;0.909;0.265;0.417;2.027;68.45;0;1;0;1;0;0;1;0;0.0736320820369148;0.088448293666294;3;4
Bima;Bima;NUSA TENGGARA BARAT;16.535;0.921;1.224;1.086;0.234;0.36;1.487;66.66;0;1;0;1;0;0;0;0;0.0247139501759218;0.0392404705083339;1;2
Sumbawa Barat;Sumbawa Barat;NUSA TENGGARA BARAT;13.625;0.889;2.577;0.84;0.244;0.679;1.91;71.85;1;1;0;1;0;0;0;0;0.0861197705370742;0.0861197705370742;4;3
Lombok Utara;Lombok Utara;NUSA TENGGARA BARAT;6.027;1.138;1.231;0.896;0.454;0.871;3.178;64.77;0;1;0;1;0;0;1;0;0.0440695300774543;0.0814870556149155;2;3
Kota Mataram;Kota Mataram;NUSA TENGGARA BARAT;11.941;0.951;2.12;0.912;0.273;0.712;1.944;79.14;1;1;0;1;0;0;1;0;0.0922101086495876;0.0528578148067081;4;2
Kota Bima;Kota Bima;NUSA TENGGARA BARAT;15.661;0.618;1.535;1.125;0.213;0.375;1.444;76.11;1;1;0;1;0;0;0;0;0.117470162578705;0.0906198397035724;4;4
Sumba Barat;Sumba Barat;NUSA TENGGARA TIMUR;8.248;1.655;1.23;0.372;0.391;0.389;1.273;63.83;0;1;0;0;0;0;0;0;0.0268940107038163;0.106231342280074;1;4
